ID_CTE,ID_FAM,FREQUENCY
7526975,420083,16
21208958,701305,16
32362790,454020,16
8737385,314156,18
8138732,314129,18
38962296,596323,24
19243506,290059,19
22086445,314129,17
32665985,106054,21
12241588,224033,31
22149429,381009,24
25364609,224033,16
6548006,898009,21
18358105,106055,28
8273541,224025,17
4240681,314064,17
16303782,224065,17
39443264,318009,25
31417958,749001,16
35490611,596056,36
8951191,314129,20
12186296,701305,32
11179784,314129,17
11868935,290059,18
30207919,540059,18
28194068,541021,20
1564464,102089,21
7494643,314129,19
6369234,106003,38
33595644,319162,17
694077,314064,28
15717251,318203,32
23066699,319061,28
30780055,224065,18
32379696,245010,17
28296669,106001,18
22468419,314156,18
25691527,319064,16
14524055,856231,17
11491776,381009,16
946569,106010,17
1721192,314063,20
18202659,775256,36
25902112,102089,18
20636606,105074,49
3924637,598009,32
19666239,751363,21
27973583,314156,19
1991243,598009,52
37266479,106010,16
10739392,314129,19
1942672,704354,18
19355530,314063,17
12727947,458020,20
12451295,106059,20
35079769,498009,19
22794844,311315,31
584747,314063,17
38938946,106059,19
33310325,420063,16
37331880,224033,16
36824404,224057,16
4273755,701305,25
22909535,798009,18
19931304,106055,16
21193697,319061,16
19279868,106010,16
323703,314156,19
32512092,314156,16
33873410,106003,17
29933445,751026,17
29763022,106054,39
1232559,701305,19
26880388,224057,24
22138961,106003,17
13353565,314129,30
38736152,704352,17
17312182,314129,19
33069699,751026,18
14535599,102012,16
22527905,314129,16
28982846,701305,31
15317541,104014,21
35354346,751025,18
22917814,751355,16
19668363,751363,17
2425784,398009,40
20342802,104015,16
25352643,302192,17
19629694,314063,17
10491750,314063,16
36723242,106055,28
14166724,313096,17
4479245,104014,16
3903953,314064,17
19777281,282002,17
21779991,701305,17
14784130,862009,28
5474963,670015,16
36518714,303326,35
29231206,106055,25
30254009,106003,18
8376799,381009,25
16669305,665025,25
21496037,788269,18
13075261,863047,16
18878667,314129,18
25688862,318009,28
30266270,413238,16
18874540,314235,23
28601807,245010,24
10676451,701305,26
4866761,105244,20
1370068,701305,20
